giornata,giocatore,punteggio
1,Luca Inte,3
1,Masi,5
1,Mosca,2
1,Ripa,3
1,Rego,4
1,Samu,1
1,Ste,2
1,Tony,3
1,Vito,4
2,Luca Inte,5
2,Masi,3
2,Mosca,5
2,Rego,0
2,Ripa,5
2,Samu,3
2,Spaglia,4
2,Ste,4
2,Tony,4
2,Vito,4
3,Luca Inte,6
3,Masi,2
3,Mosca,6
3,Rego,4
3,Ripa,7
3,Samu,3
3,Spaglia,2
3,Ste,5
3,Tony,5
3,Vito,4
4,Luca Inte,4
4,Mosca,3
4,Rego,4
4,Ripa,5
4,Samu,5
4,Ste,5
4,Tony,4
4,Vito,5
5,Luca Inte,2
5,Masi,5
5,Mosca,4
5,Rego,6
5,Ripa,4
5,Samu,2
5,Spaglia,4
5,Ste,4
5,Tony,2
5,Vito,4
6,Luca Inte,3
6,Masi,3
6,Mosca,4
6,Rego,2
6,Ripa,6
6,Samu,4
6,Spaglia,4
6,Ste,3
6,Tony,3
6,Vito,3
7,Luca Inte,2
7,Masi,5
7,Mosca,5
7,Rego,4
7,Ripa,4
7,Samu,3
7,Spaglia,4
7,Ste,3
7,Tony,4
7,Vito,3
8,Luca Inte,2
8,Masi,5
8,Mosca,4
8,Rego,4
8,Ripa,6
8,Samu,4
8,Spaglia,4
8,Ste,3
8,Tony,6
8,Vito,3
9,Luca Inte,5
9,Masi,4
9,Mosca,6
9,Rego,5
9,Ripa,4
9,Samu,4
9,Spaglia,3
9,Ste,5
9,Tony,4
9,Vito,5
11,Vito,3
11,Tony,2
11,Ste,4
11,Spaglia,5
11,Samu,4
11,Ripa,2
11,Rego,2
11,Mosca,1
11,Masi,3
11,Luca Inte,2
10,Luca Inte,5
10,Masi,3
10,Mosca,2
10,Rego,1
10,Ripa,5
10,Samu,2
10,Spaglia,3
10,Ste,2
10,Tony,4
10,Vito,3
12,Luca Inte,5
12,Masi,4
12,Mosca,4
12,Rego,4
12,Ripa,5
12,Samu,4
12,Spaglia,3
12,Ste,3
12,Tony,7
12,Vito,4
13,Ripa,2
13,Vito,3
13,Mosca,3
13,Tony,2
13,Ste,3
13,Luca Inte,1
13,Rego,4
13,Masi,4
13,Samu,3
13,Spaglia,4
14,Luca Inte,0
14,Masi,3
14,Mosca,4
14,Rego,3
14,Ripa,5
14,Samu,3
14,Spaglia,0
14,Ste,2
14,Tony,5
14,Vito,4
15,Luca Inte,5
15,Masi,4
15,Mosca,6
